model,parameter,mean,median,ci_2.5,ci_97.5,p_lt_0,p_gt_0
Initial-position slope,beta_lat_initial,0.008807326709963568,0.00874151849052754,-0.025926302610749078,0.04391394719774289,0.3085,0.6915
Final-position slope,beta_lat_final,-0.2568502908520723,-0.25679866994404643,-0.2914067845676328,-0.22233362220762987,1.0,0.0
Final-minus-initial slope difference,beta_lat_final_delta,-0.2656576175620358,-0.26562914109405117,-0.2754829615908224,-0.25608736954520783,1.0,0.0
