statistic,observed,ppc_median,ppc_2.5,ppc_97.5,bayesian_p_ge_observed
overall_rate,0.6517982957222952,0.6656504368734526,0.6533501964263959,0.6778425364865766,0.9872
mean_language_rate,0.6714012148172235,0.7037438985634382,0.6949718563561977,0.7123073937566148,1.0
sd_language_rate,0.294562887012188,0.30027564133979945,0.29461743295256465,0.30594718728269366,0.9764
share_rate_zero,0.0038174877295037266,0.0049081985093619345,0.003090347209598255,0.007271405199054717,0.8872
share_rate_one,0.17324122886747864,0.1456098891110707,0.13524813670241775,0.15578985638974732,0.0
