model,parameter,mean,median,ci_2.5,ci_97.5,p_lt_0,p_gt_0
Between-family latitude,beta_between,-0.5126647120335897,-0.511531194302673,-0.6484571953249488,-0.3768835422663436,1.0,0.0
Within-family latitude,beta_within,-0.08337458800299591,-0.08335926121976088,-0.08906689562899484,-0.07772936501417795,1.0,0.0
