Language_ID,Family,Latitude,Longitude,abs_latitude,n_total,n_v_final,n_v_initial,n_concepts,mean_final_cluster,dataset,is_unknown_or_isolate,passes_concept_threshold,has_family,has_abs_latitude,in_primary_sample,Macroarea,_macroarea_merge,macroarea_id_matched,has_macroarea,in_macroarea_sample,macroarea_exclusion_reason
A51_BAFIA_MAJA,Atlantic-Congo,5.1,11.2,5.1,42,18,0,35,0.6904761904761905,ASJP,False,True,True,True,True,Africa,both,True,True,True,included
A51_BAFIA_TUMI_TINGON,Atlantic-Congo,5.1,11.2,5.1,43,25,0,36,0.4186046511627907,ASJP,False,True,True,True,True,Africa,both,True,True,True,included
A51_BAFIA_ZAKAAN,Atlantic-Congo,5.1,11.2,5.1,38,28,0,28,0.2631578947368421,ASJP,False,True,True,True,True,Africa,both,True,True,True,included
A53_BAFIA_RIKPA,Atlantic-Congo,5.0,11.17,5.0,41,23,13,36,0.43902439024390244,ASJP,False,True,True,True,True,Africa,both,True,True,True,included
A54_BAFIA_NJANTI,Atlantic-Congo,5.3,11.3,5.3,38,25,0,35,0.42105263157894735,ASJP,False,True,True,True,True,Africa,both,True,True,True,included
A60_GUNU,Atlantic-Congo,4.58,11.25,4.58,33,30,12,32,0.09090909090909091,ASJP,False,True,True,True,True,Africa,both,True,True,True,included
A60_MMAALA,Atlantic-Congo,4.5,11.08,4.5,36,31,12,33,0.16666666666666666,ASJP,False,True,True,True,True,Africa,both,True,True,True,included
A61_NGORO_ASOM,Atlantic-Congo,4.58,11.5,4.58,43,27,5,35,0.37209302325581395,ASJP,False,True,True,True,True,Africa,both,True,True,True,included
A62_KALONGE,Atlantic-Congo,4.43,11.08,4.43,47,22,15,36,0.6382978723404256,ASJP,False,True,True,True,True,Africa,both,True,True,True,included
A72a_EWONDO,Atlantic-Congo,4.0,12.0,4.0,40,17,3,37,0.575,ASJP,False,True,True,True,True,Africa,both,True,True,True,included
AASAX,Afro-Asiatic,-4.04,37.16,4.04,37,16,5,36,0.5945945945945946,ASJP,False,True,True,True,True,Africa,both,True,True,True,included
ABAGA,Nuclear Trans New Guinea,-6.17,145.67,6.17,66,65,16,64,0.015151515151515152,ASJP,False,True,True,True,True,Papunesia,both,True,True,True,included
ABANYOM,Atlantic-Congo,6.29,8.63,6.29,60,22,1,59,0.6333333333333333,ASJP,False,True,True,True,True,Africa,both,True,True,True,included
ABAR,Atlantic-Congo,6.58,10.25,6.58,32,20,6,30,0.375,ASJP,False,True,True,True,True,Africa,both,True,True,True,included
ABASAKUR,Nuclear Trans New Guinea,-4.77,145.23,4.77,89,52,25,84,0.4157303370786517,ASJP,False,True,True,True,True,Papunesia,both,True,True,True,included
ABASOLO_VALLE_MIXTEC,Otomanguean,17.78,-95.54,17.78,18,18,3,18,0.0,ASJP,False,False,True,True,False,North America,both,True,True,False,fewer_than_20_concepts
ABAU,Sepik,-4.0,141.25,4.0,70,45,17,67,0.35714285714285715,ASJP,False,True,True,True,True,Papunesia,both,True,True,True,included
ABAU_2,Sepik,-4.0,141.25,4.0,97,35,27,85,0.8247422680412371,ASJP,False,True,True,True,True,Papunesia,both,True,True,True,included
ABAWIRI,Lakes Plain,-3.0,139.17,3.0,86,77,11,81,0.12790697674418605,ASJP,False,True,True,True,True,Papunesia,both,True,True,True,included
ABAZA,Abkhaz-Adyge,44.0,42.0,44.0,42,37,3,39,0.14285714285714285,ASJP,False,True,True,True,True,Eurasia,both,True,True,True,included
ABBEY,Atlantic-Congo,5.9,-4.38,5.9,91,91,31,85,0.0,ASJP,False,True,True,True,True,Africa,both,True,True,True,included
ABE,Atlantic-Congo,5.83,-4.25,5.83,23,23,7,23,0.0,ASJP,False,True,True,True,True,Africa,both,True,True,True,included
ABIDJI,Atlantic-Congo,5.67,-4.58,5.67,17,17,7,17,0.0,ASJP,False,False,True,True,False,Africa,both,True,True,False,fewer_than_20_concepts
ABIDJI_2,Atlantic-Congo,5.67,-4.58,5.67,93,93,17,85,0.0,ASJP,False,True,True,True,True,Africa,both,True,True,True,included
ABINOMN,Abinomn,-3.0,138.83,3.0,58,20,12,58,0.8103448275862069,ASJP,False,True,True,True,True,Papunesia,both,True,True,True,included
ABIPON,Guaicuruan,-29.0,-61.0,29.0,127,46,96,84,0.7244094488188977,ASJP,False,True,True,True,True,South America,both,True,True,True,included
ABIRPARA_MAHALI,Austroasiatic,23.4,85.32,23.4,37,16,6,37,0.5675675675675675,ASJP,False,True,True,True,True,Eurasia,both,True,True,True,included
ABKHAZ,Abkhaz-Adyge,43.08,41.0,43.08,42,35,3,39,0.2857142857142857,ASJP,False,True,True,True,True,Eurasia,both,True,True,True,included
ABKHAZ_2,Abkhaz-Adyge,43.08,41.0,43.08,106,85,97,98,0.330188679245283,ASJP,False,True,True,True,True,Eurasia,both,True,True,True,included
ABNAKI_EASTERN,Algic,45.0,-68.67,45.0,46,15,6,35,0.8695652173913043,ASJP,False,True,True,True,True,North America,both,True,True,True,included
ABNAKI_WESTERN,Algic,44.0,-72.25,44.0,46,24,13,39,0.5869565217391305,ASJP,False,True,True,True,True,North America,both,True,True,True,included
ABOM,Anim,-8.42,142.84,8.42,98,25,15,98,0.7551020408163265,ASJP,False,True,True,True,True,Papunesia,both,True,True,True,included
ABON,Atlantic-Congo,6.91,10.88,6.91,13,13,3,12,0.0,ASJP,False,False,True,True,False,Africa,both,True,True,False,fewer_than_20_concepts
ABRON,Atlantic-Congo,8.0,-3.0,8.0,22,21,10,21,0.045454545454545456,ASJP,False,True,True,True,True,Africa,both,True,True,True,included
ABRON_2,Atlantic-Congo,7.6,-2.0,7.6,89,57,14,84,0.38202247191011235,ASJP,False,True,True,True,True,Africa,both,True,True,True,included
ABU,Ramu,-4.25,144.5,4.25,38,20,16,35,0.47368421052631576,ASJP,False,True,True,True,True,Papunesia,both,True,True,True,included
ABUA,Atlantic-Congo,4.91,6.69,4.91,30,10,22,30,0.6666666666666666,ASJP,False,True,True,True,True,Africa,both,True,True,True,included
ABUI,Timor-Alor-Pantar,-8.25,124.58,8.25,94,70,14,88,0.2553191489361702,ASJP,False,True,True,True,True,Papunesia,both,True,True,True,included
ABUI_2,Timor-Alor-Pantar,-8.25,124.58,8.25,13,11,2,12,0.15384615384615385,ASJP,False,False,True,True,False,Papunesia,both,True,True,False,fewer_than_20_concepts
ABUI_ATIMELANG,Timor-Alor-Pantar,-8.25,124.58,8.25,36,17,6,32,0.5277777777777778,ASJP,False,True,True,True,True,Papunesia,both,True,True,True,included
ABUI_MAKADAI,Timor-Alor-Pantar,-8.25,124.58,8.25,34,17,6,32,0.5,ASJP,False,True,True,True,True,Papunesia,both,True,True,True,included
ABUI_TAKALELANG,Timor-Alor-Pantar,-8.25,124.58,8.25,44,31,8,39,0.29545454545454547,ASJP,False,True,True,True,True,Papunesia,both,True,True,True,included
ABUJHMARIA,Dravidian,19.5,81.0,19.5,56,26,8,36,0.5892857142857143,ASJP,False,True,True,True,True,Eurasia,both,True,True,True,included
ABUL,Heibanic,11.25,30.67,11.25,44,20,7,40,0.5454545454545454,ASJP,False,True,True,True,True,Africa,both,True,True,True,included
ABUN,Abun,-0.5,132.5,0.5,77,45,5,73,0.4155844155844156,ASJP,False,True,True,True,True,Papunesia,both,True,True,True,included
ABUNG_SUKADANA_LAMPUNG_NYO,Austronesian,-4.67,105.5,4.67,34,10,5,33,0.7058823529411765,ASJP,False,True,True,True,True,Papunesia,both,True,True,True,included
ABURE,Atlantic-Congo,5.22,-3.64,5.22,13,13,7,13,0.0,ASJP,False,False,True,True,False,Africa,both,True,True,False,fewer_than_20_concepts
ABURE_2,Atlantic-Congo,5.31,-3.5,5.31,5,5,0,5,0.0,ASJP,False,False,True,True,False,Africa,both,True,True,False,fewer_than_20_concepts
ABURE_3,Atlantic-Congo,5.31,-3.5,5.31,89,89,46,85,0.0,ASJP,False,True,True,True,True,Africa,both,True,True,True,included
ABU_2,Nuclear Torricelli,-3.46,142.92,3.46,95,36,43,95,0.6421052631578947,ASJP,False,True,True,True,True,Papunesia,both,True,True,True,included
ABU_ARAPESH,Nuclear Torricelli,-6.17,140.17,6.17,100,22,48,86,0.81,ASJP,False,True,True,True,True,Papunesia,both,True,True,True,included
ACATECO_SAN_MIGUEL_ACATAN,Mayan,15.33,-91.67,15.33,102,9,18,98,0.9117647058823529,ASJP,False,True,True,True,True,North America,both,True,True,True,included
ACEH,Austronesian,5.5,95.5,5.5,48,21,11,37,0.5625,ASJP,False,True,True,True,True,Papunesia,both,True,True,True,included
ACHAEMENID_ARAMAIC,Afro-Asiatic,32.54,44.42,32.54,18,1,3,17,1.8333333333333333,ASJP,False,False,True,True,False,Eurasia,both,True,True,False,fewer_than_20_concepts
ACHAGUA,Arawakan,4.42,-72.25,4.42,44,44,14,36,0.0,ASJP,False,True,True,True,True,South America,both,True,True,True,included
ACHANG,Sino-Tibetan,25.0,98.5,25.0,40,21,6,39,0.475,ASJP,False,True,True,True,True,Eurasia,both,True,True,True,included
ACHE,Tupian,-25.25,-55.17,25.25,49,49,11,40,0.0,ASJP,False,True,True,True,True,South America,both,True,True,True,included
ACHERON,Narrow Talodi,10.88,30.31,10.88,42,18,7,39,0.5714285714285714,ASJP,False,True,True,True,True,Africa,both,True,True,True,included
ACHOLI,Nilotic,3.0,32.67,3.0,44,18,8,40,0.5909090909090909,ASJP,False,True,True,True,True,Africa,both,True,True,True,included
ACHOLI_2,Nilotic,3.0,32.67,3.0,40,15,8,40,0.65,ASJP,False,True,True,True,True,Africa,both,True,True,True,included
ACHUAR,Chicham,-3.0,-76.0,3.0,56,37,14,39,0.39285714285714285,ASJP,False,True,True,True,True,South America,both,True,True,True,included
ACHUMAWI,Palaihnihan,41.5,-121.0,41.5,142,73,76,100,0.5774647887323944,ASJP,False,True,True,True,True,North America,both,True,True,True,included
ACOMA_KERES,Keresan,34.97,-107.52,34.97,36,36,1,34,0.0,ASJP,False,True,True,True,True,North America,both,True,True,True,included
ADANG,Timor-Alor-Pantar,-8.17,124.47,8.17,39,22,7,36,0.46153846153846156,ASJP,False,True,True,True,True,Papunesia,both,True,True,True,included
ADANGBE,Atlantic-Congo,6.42,0.67,6.42,33,33,21,30,0.0,ASJP,False,True,True,True,True,Africa,both,True,True,True,included
ADANGBE_2,Atlantic-Congo,6.42,0.67,6.42,62,62,47,52,0.0,ASJP,False,True,True,True,True,Africa,both,True,True,True,included
ADANG_PITUNG,Timor-Alor-Pantar,-8.17,124.47,8.17,39,10,19,39,0.7435897435897436,ASJP,False,True,True,True,True,Papunesia,both,True,True,True,included
ADELE,Atlantic-Congo,8.17,0.5,8.17,30,22,2,29,0.26666666666666666,ASJP,False,True,True,True,True,Africa,both,True,True,True,included
ADENI_ARABIC,Afro-Asiatic,13.65,45.64,13.65,36,9,9,28,1.0,ASJP,False,True,True,True,True,Eurasia,both,True,True,True,included
ADHOLA,Nilotic,0.67,34.0,0.67,39,15,5,39,0.6666666666666666,ASJP,False,True,True,True,True,Africa,both,True,True,True,included
ADILABAD_GONDI,Dravidian,19.0,81.0,19.0,42,13,5,34,0.8095238095238095,ASJP,False,True,True,True,True,Eurasia,both,True,True,True,included
ADIOUKROU,Atlantic-Congo,5.42,-4.58,5.42,29,3,13,28,1.4137931034482758,ASJP,False,True,True,True,True,Africa,both,True,True,True,included
ADIOUKROU_2,Atlantic-Congo,5.39,-4.52,5.39,90,20,34,83,1.1888888888888889,ASJP,False,True,True,True,True,Africa,both,True,True,True,included
ADIWASI_GARASIA,Indo-European,24.07,73.14,24.07,7,5,1,7,0.2857142857142857,ASJP,False,False,True,True,False,Eurasia,both,True,True,False,fewer_than_20_concepts
ADI_GALO,Sino-Tibetan,28.23,94.07,28.23,40,30,11,40,0.25,ASJP,False,True,True,True,True,Eurasia,both,True,True,True,included
ADNYAMATHANHA,Pama-Nyungan,-30.5,139.5,30.5,27,27,7,25,0.0,ASJP,False,True,True,True,True,Australia,both,True,True,True,included
ADNYAMATHANHA_2,Pama-Nyungan,-30.5,139.5,30.5,109,109,25,94,0.0,ASJP,False,True,True,True,True,Australia,both,True,True,True,included
ADONARA,Austronesian,-8.32,123.15,8.32,35,17,7,35,0.5142857142857142,ASJP,False,True,True,True,True,Papunesia,both,True,True,True,included
ADORA,Greater Kwerba,-1.85,138.16,1.85,99,57,30,98,0.42424242424242425,ASJP,False,True,True,True,True,Papunesia,both,True,True,True,included
ADUMANIS_ULU_KOMERING,Austronesian,-4.0,105.0,4.0,32,13,8,32,0.59375,ASJP,False,True,True,True,True,Papunesia,both,True,True,True,included
ADYGHE,Abkhaz-Adyge,45.23,40.58,45.23,40,29,0,38,0.325,ASJP,False,True,True,True,True,Eurasia,both,True,True,True,included
ADYGHE_2,Abkhaz-Adyge,45.22,39.7,45.22,105,63,4,99,0.5047619047619047,ASJP,False,True,True,True,True,Eurasia,both,True,True,True,included
ADZERA,Austronesian,-6.25,146.25,6.25,39,18,5,39,0.5641025641025641,ASJP,False,True,True,True,True,Papunesia,both,True,True,True,included
AEKA,Nuclear Trans New Guinea,-8.79,148.09,8.79,13,13,4,13,0.0,ASJP,False,False,True,True,False,Papunesia,both,True,True,False,fewer_than_20_concepts
AEKA_2,Nuclear Trans New Guinea,-8.79,148.09,8.79,81,81,30,53,0.0,ASJP,False,True,True,True,True,Papunesia,both,True,True,True,included
AEKA_3,Nuclear Trans New Guinea,-8.79,148.09,8.79,34,34,12,34,0.0,ASJP,False,True,True,True,True,Papunesia,both,True,True,True,included
AEKYOM,Kamula-Elevala,-5.75,141.42,5.75,35,34,0,33,0.02857142857142857,ASJP,False,True,True,True,True,Papunesia,both,True,True,True,included
AEKYOM_2,Kamula-Elevala,-5.75,141.42,5.75,43,39,5,43,0.09302325581395349,ASJP,False,True,True,True,True,Papunesia,both,True,True,True,included
AFADE,Afro-Asiatic,11.33,15.33,11.33,25,20,3,25,0.2,ASJP,False,True,True,True,True,Africa,both,True,True,True,included
AFADE_2,Afro-Asiatic,11.33,15.33,11.33,11,3,0,11,0.7272727272727273,ASJP,False,False,True,True,False,Africa,both,True,True,False,fewer_than_20_concepts
AFAR,Afro-Asiatic,12.0,42.0,12.0,71,51,27,39,0.28169014084507044,ASJP,False,True,True,True,True,Africa,both,True,True,True,included
AFAR_2,Afro-Asiatic,12.0,42.0,12.0,38,34,15,38,0.10526315789473684,ASJP,False,True,True,True,True,Africa,both,True,True,True,included
AFAR_3,Afro-Asiatic,12.5,41.5,12.5,146,114,31,100,0.2191780821917808,ASJP,False,True,True,True,True,Africa,both,True,True,True,included
AFITTI,Nyimang,12.47,30.75,12.47,101,71,22,93,0.297029702970297,ASJP,False,True,True,True,True,Africa,both,True,True,True,included
AFI_AMANDA,Atlantic-Congo,6.8,10.95,6.8,35,27,3,34,0.22857142857142856,ASJP,False,True,True,True,True,Africa,both,True,True,True,included
AFRIKAANS,Indo-European,-31.0,22.0,31.0,42,4,5,40,1.0714285714285714,ASJP,False,True,True,True,True,Africa,both,True,True,True,included
AGALA,East Strickland,-5.75,142.25,5.75,91,90,15,91,0.01098901098901099,ASJP,False,True,True,True,True,Papunesia,both,True,True,True,included
AGARABI,Nuclear Trans New Guinea,-6.17,146.0,6.17,26,26,14,26,0.0,ASJP,False,True,True,True,True,Papunesia,both,True,True,True,included
AGA_BEREHO,Yareban,-9.23,148.45,9.23,93,93,44,89,0.0,ASJP,False,True,True,True,True,Papunesia,both,True,True,True,included
AGHEM,Atlantic-Congo,6.65,10.0,6.65,70,45,13,62,0.35714285714285715,ASJP,False,True,True,True,True,Africa,both,True,True,True,included
AGHEM_2,Atlantic-Congo,6.65,10.0,6.65,70,47,8,66,0.32857142857142857,ASJP,False,True,True,True,True,Africa,both,True,True,True,included
AGHEM_ISU,Atlantic-Congo,6.67,10.0,6.67,37,24,0,35,0.35135135135135137,ASJP,False,True,True,True,True,Africa,both,True,True,True,included
AGHEM_WEH,Atlantic-Congo,6.67,10.0,6.67,36,20,0,35,0.4444444444444444,ASJP,False,True,True,True,True,Africa,both,True,True,True,included
AGHEM_WUM,Atlantic-Congo,6.67,10.0,6.67,36,24,0,35,0.3333333333333333,ASJP,False,True,True,True,True,Africa,both,True,True,True,included
AGHU,Nuclear Trans New Guinea,-6.17,140.17,6.17,66,41,18,63,0.3787878787878788,ASJP,False,True,True,True,True,Papunesia,both,True,True,True,included
AGHU_2,Nuclear Trans New Guinea,-6.17,140.17,6.17,23,21,5,22,0.08695652173913043,ASJP,False,True,True,True,True,Papunesia,both,True,True,True,included
AGHU_THARRNGGALA,Pama-Nyungan,-13.73,142.43,13.73,35,25,15,32,0.2857142857142857,ASJP,False,True,True,True,True,Australia,both,True,True,True,included
AGI,Central Sudanic,4.75,29.75,4.75,39,38,11,37,0.05128205128205128,ASJP,False,True,True,True,True,Africa,both,True,True,True,included
AGI_AGEI,Nuclear Torricelli,-3.42,142.42,3.42,56,44,7,55,0.23214285714285715,ASJP,False,True,True,True,True,Papunesia,both,True,True,True,included
AGI_WORU,Nuclear Torricelli,-3.42,142.42,3.42,68,50,9,65,0.2647058823529412,ASJP,False,True,True,True,True,Papunesia,both,True,True,True,included
AGI_WURO,Nuclear Torricelli,-3.42,142.42,3.42,51,37,0,49,0.27450980392156865,ASJP,False,True,True,True,True,Papunesia,both,True,True,True,included
AGI_YOLPA,Nuclear Torricelli,-3.42,142.42,3.42,63,47,8,62,0.25396825396825395,ASJP,False,True,True,True,True,Papunesia,both,True,True,True,included
AGI_YOLPA_2,Nuclear Torricelli,-3.42,142.42,3.42,46,33,3,42,0.2826086956521739,ASJP,False,True,True,True,True,Papunesia,both,True,True,True,included
AGNI_ANYIN,Atlantic-Congo,6.8,-3.2,6.8,10,10,1,10,0.0,ASJP,False,False,True,True,False,Africa,both,True,True,False,fewer_than_20_concepts
AGNI_ANYIN_2,Atlantic-Congo,6.8,-3.2,6.8,91,90,25,83,0.02197802197802198,ASJP,False,True,True,True,True,Africa,both,True,True,True,included
AGNI_INDENIE,Atlantic-Congo,6.73,-3.5,6.73,62,58,15,49,0.06451612903225806,ASJP,False,True,True,True,True,Africa,both,True,True,True,included
AGNI_INDENIE_2,Atlantic-Congo,6.73,-3.5,6.73,80,80,15,61,0.0,ASJP,False,True,True,True,True,Africa,both,True,True,True,included
AGOB_DABU,Pahoturi,-9.0,142.58,9.0,38,23,4,34,0.42105263157894735,ASJP,False,True,True,True,True,Papunesia,both,True,True,True,included
AGOI,Atlantic-Congo,5.86,8.21,5.86,40,15,10,39,0.625,ASJP,False,True,True,True,True,Africa,both,True,True,True,included
AGOI_2,Atlantic-Congo,5.86,8.21,5.86,19,9,0,17,0.5263157894736842,ASJP,False,False,True,True,False,Africa,both,True,True,False,fewer_than_20_concepts
AGRA_GUJARI,Indo-European,27.18,78.0,27.18,34,15,4,34,0.7941176470588235,ASJP,False,True,True,True,True,Eurasia,both,True,True,True,included
AGTA,Austronesian,17.97,121.83,17.97,36,13,9,36,0.6388888888888888,ASJP,False,True,True,True,True,Papunesia,both,True,True,True,included
AGUACATEC,Mayan,15.42,-91.33,15.42,99,1,17,98,1.0505050505050506,ASJP,False,True,True,True,True,North America,both,True,True,True,included
AGUACATECO_AGUACATAN,Mayan,15.42,-91.33,15.42,106,4,22,98,1.0566037735849056,ASJP,False,True,True,True,True,North America,both,True,True,True,included
AGUARUNA,Chicham,-5.0,-78.0,5.0,112,74,27,96,0.35714285714285715,ASJP,False,True,True,True,True,South America,both,True,True,True,included
AGUARUNA_2,Chicham,-5.0,-78.0,5.0,39,23,9,34,0.4358974358974359,ASJP,False,True,True,True,True,South America,both,True,True,True,included
AGUL,Nakh-Daghestanian,41.75,47.67,41.75,58,5,14,38,1.0517241379310345,ASJP,False,True,True,True,True,Eurasia,both,True,True,True,included
AGUTYANEN,Austronesian,10.53,119.66,10.53,37,21,9,33,0.43243243243243246,ASJP,False,True,True,True,True,Papunesia,both,True,True,True,included
AGWAGWUNE,Atlantic-Congo,5.76,8.1,5.76,2,0,0,2,1.0,ASJP,False,False,True,True,False,Africa,both,True,True,False,fewer_than_20_concepts
AGWAGWUNE_2,Atlantic-Congo,5.76,8.1,5.76,4,0,0,4,1.0,ASJP,False,False,True,True,False,Africa,both,True,True,False,fewer_than_20_concepts
AGWAGWUNE_3,Atlantic-Congo,5.76,8.1,5.76,5,4,0,5,0.2,ASJP,False,False,True,True,False,Africa,both,True,True,False,fewer_than_20_concepts
AGWAGWUNE_4,Atlantic-Congo,5.76,8.1,5.76,60,34,44,52,0.43333333333333335,ASJP,False,True,True,True,True,Africa,both,True,True,True,included
AGWAGWUNE_5,Atlantic-Congo,5.75,8.08,5.75,40,19,26,39,0.525,ASJP,False,True,True,True,True,Africa,both,True,True,True,included
AHAN,Atlantic-Congo,7.43,6.0,7.43,14,14,14,14,0.0,ASJP,False,False,True,True,False,Africa,both,True,True,False,fewer_than_20_concepts
AHANTE,Atlantic-Congo,4.9,-2.0,4.9,41,41,20,40,0.0,ASJP,False,True,True,True,True,Africa,both,True,True,True,included
AHAN_2,Atlantic-Congo,7.43,6.0,7.43,29,28,21,27,0.034482758620689655,ASJP,False,True,True,True,True,Africa,both,True,True,True,included
AHEAVE,Eleman,-7.67,145.42,7.67,41,41,18,40,0.0,ASJP,False,True,True,True,True,Papunesia,both,True,True,True,included
AHLO,Atlantic-Congo,6.67,0.67,6.67,42,42,17,40,0.0,ASJP,False,True,True,True,True,Africa,both,True,True,True,included
AHOM,Tai-Kadai,26.98,94.63,26.98,30,8,2,27,0.7333333333333333,ASJP,False,True,True,True,True,Eurasia,both,True,True,True,included
AHTNA,Athabaskan-Eyak-Tlingit,62.0,-145.0,62.0,39,17,2,39,0.5641025641025641,ASJP,False,True,True,True,True,North America,both,True,True,True,included
AIHUI_MANCHU,Tungusic,50.25,127.5,50.25,48,36,9,34,0.25,ASJP,False,True,True,True,True,Eurasia,both,True,True,True,included
AIKANA,Aikanã,-12.67,-60.67,12.67,109,95,20,97,0.12844036697247707,ASJP,False,True,True,True,True,South America,both,True,True,True,included
AIKLEP,Austronesian,-6.25,149.67,6.25,26,13,9,26,0.5,ASJP,False,True,True,True,True,Papunesia,both,True,True,True,included
AIKU,Nuclear Torricelli,-3.7,142.6,3.7,81,22,20,78,0.8395061728395061,ASJP,False,True,True,True,True,Papunesia,both,True,True,True,included
AIMELE,Bosavi,-6.92,142.67,6.92,35,35,5,35,0.0,ASJP,False,True,True,True,True,Papunesia,both,True,True,True,included
AIMOL,Sino-Tibetan,24.64,94.36,24.64,19,12,2,19,0.3684210526315789,ASJP,False,False,True,True,False,Eurasia,both,True,True,False,fewer_than_20_concepts
AINU_ASAHIKAWA,Ainu,43.77,142.37,43.77,40,21,8,40,0.475,ASJP,False,True,True,True,True,Eurasia,both,True,True,True,included
AINU_BIHORO,Ainu,43.82,144.1,43.82,40,21,9,40,0.475,ASJP,False,True,True,True,True,Eurasia,both,True,True,True,included
AINU_HIRATORI,Ainu,42.58,142.13,42.58,41,23,8,40,0.43902439024390244,ASJP,False,True,True,True,True,Eurasia,both,True,True,True,included
AINU_HOROBETSU,Ainu,42.42,141.1,42.42,42,21,8,40,0.5,ASJP,False,True,True,True,True,Eurasia,both,True,True,True,included
AINU_KUSHIRO,Ainu,42.98,144.38,42.98,40,21,8,40,0.475,ASJP,False,True,True,True,True,Eurasia,both,True,True,True,included
AINU_MAOKA,Ainu,47.05,142.05,47.05,43,23,12,40,0.46511627906976744,ASJP,False,True,True,True,True,Eurasia,both,True,True,True,included
AINU_NAIRO,Ainu,45.39,141.06,45.39,42,22,11,40,0.47619047619047616,ASJP,False,True,True,True,True,Eurasia,both,True,True,True,included
AINU_NAYORO,Ainu,44.35,142.46,44.35,41,21,9,40,0.4878048780487805,ASJP,False,True,True,True,True,Eurasia,both,True,True,True,included
AINU_NIIKAPPU,Ainu,42.37,142.32,42.37,40,21,7,40,0.475,ASJP,False,True,True,True,True,Eurasia,both,True,True,True,included
AINU_NUKKIBETSU,Ainu,42.66,142.27,42.66,40,22,7,40,0.45,ASJP,False,True,True,True,True,Eurasia,both,True,True,True,included
AINU_OBIHIRO,Ainu,42.92,143.2,42.92,40,22,9,40,0.45,ASJP,False,True,True,True,True,Eurasia,both,True,True,True,included
AINU_OCHIHO,Ainu,46.92,143.09,46.92,41,23,11,40,0.43902439024390244,ASJP,False,True,True,True,True,Eurasia,both,True,True,True,included
AINU_OSHAMAMBE,Ainu,42.51,140.37,42.51,40,21,7,40,0.475,ASJP,False,True,True,True,True,Eurasia,both,True,True,True,included
AINU_RAICHISHKA,Ainu,49.07,142.03,49.07,43,25,13,40,0.4186046511627907,ASJP,False,True,True,True,True,Eurasia,both,True,True,True,included
AINU_SAMANI,Ainu,42.13,142.93,42.13,40,21,8,40,0.475,ASJP,False,True,True,True,True,Eurasia,both,True,True,True,included
AINU_SARU,Ainu,42.5,142.01,42.5,38,23,9,38,0.39473684210526316,ASJP,False,True,True,True,True,Eurasia,both,True,True,True,included
AINU_SHIRAURA,Ainu,47.85,142.52,47.85,41,23,11,40,0.43902439024390244,ASJP,False,True,True,True,True,Eurasia,both,True,True,True,included
AINU_SOYA,Ainu,45.52,141.94,45.52,43,23,11,40,0.46511627906976744,ASJP,False,True,True,True,True,Eurasia,both,True,True,True,included
AINU_TARANTOMARI,Ainu,46.86,141.97,46.86,42,26,12,40,0.38095238095238093,ASJP,False,True,True,True,True,Eurasia,both,True,True,True,included
AINU_YAKUMO,Ainu,42.25,140.27,42.25,41,22,8,40,0.4634146341463415,ASJP,False,True,True,True,True,Eurasia,both,True,True,True,included
AIOME,Ramu,-5.17,144.83,5.17,106,43,59,93,0.6132075471698113,ASJP,False,True,True,True,True,Papunesia,both,True,True,True,included
AIRORAN,Greater Kwerba,-1.85,138.16,1.85,27,14,6,27,0.5185185185185185,ASJP,False,True,True,True,True,Papunesia,both,True,True,True,included
AISHUO_WA,Austroasiatic,22.32,99.59,22.32,32,5,1,31,0.84375,ASJP,False,True,True,True,True,Eurasia,both,True,True,True,included
AIZI,Atlantic-Congo,5.25,-4.5,5.25,29,29,1,28,0.0,ASJP,False,True,True,True,True,Africa,both,True,True,True,included
AIZI_TIAGBAMRIN,Kru,5.28,-4.64,5.28,54,54,1,52,0.0,ASJP,False,True,True,True,True,Africa,both,True,True,True,included
AI_BANDA,Austronesian,-4.52,129.77,4.52,39,15,7,33,0.6153846153846154,ASJP,False,True,True,True,True,Papunesia,both,True,True,True,included
AJA,Kresh-Aja,7.33,25.67,7.33,98,95,39,90,0.030612244897959183,ASJP,False,True,True,True,True,Africa,both,True,True,True,included
AJAGBE,Atlantic-Congo,7.07,1.65,7.07,36,33,21,36,0.08333333333333333,ASJP,False,True,True,True,True,Africa,both,True,True,True,included
AJA_GBE,Atlantic-Congo,6.9,1.7,6.9,57,57,44,52,0.0,ASJP,False,True,True,True,True,Africa,both,True,True,True,included
AJIE,Austronesian,-21.33,165.5,21.33,41,41,2,40,0.0,ASJP,False,True,True,True,True,Papunesia,both,True,True,True,included
AJYININKA_APURUCAYALI,Arawakan,-9.92,-74.53,9.92,47,41,22,36,0.14893617021276595,ASJP,False,True,True,True,True,South America,both,True,True,True,included
AK,Sepik,-3.5,141.75,3.5,69,25,17,68,0.6666666666666666,ASJP,False,True,True,True,True,Papunesia,both,True,True,True,included
AKA,Eastern Jebel,11.17,33.83,11.17,28,27,6,22,0.03571428571428571,ASJP,False,True,True,True,True,Africa,both,True,True,True,included
AKAHA,Ijoid,4.5,6.42,4.5,40,40,18,37,0.0,ASJP,False,True,True,True,True,Africa,both,True,True,True,included
AKAJIMA_OKINAWAN,Japonic,26.2,127.28,26.2,44,35,3,39,0.20454545454545456,ASJP,False,True,True,True,True,Eurasia,both,True,True,True,included
