Language_ID,Family,Latitude,Longitude,abs_latitude,n_total,n_v_final,n_v_initial,n_concepts,mean_final_cluster,dataset,is_unknown_or_isolate,passes_concept_threshold,has_family,has_abs_latitude,in_primary_sample,Macroarea,_macroarea_merge,macroarea_id_matched,has_macroarea,in_macroarea_sample,macroarea_exclusion_reason
TIV,Atlantic-Congo,7.5,8.8,7.5,82,67,23,52,0.1951219512195122,ASJP,False,True,True,True,True,Africa,both,True,True,True,included
TIV_1,Atlantic-Congo,7.5,9.0,7.5,31,26,2,30,0.16129032258064516,ASJP,False,True,True,True,True,Africa,both,True,True,True,included
TIV_2,Atlantic-Congo,7.5,9.0,7.5,37,27,5,37,0.2702702702702703,ASJP,False,True,True,True,True,Africa,both,True,True,True,included
TIWA,Sino-Tibetan,26.22,92.32,26.22,46,22,3,37,0.5217391304347826,ASJP,False,True,True,True,True,Eurasia,both,True,True,True,included
TIWA_NORTHERN_PICURIS,Kiowa-Tanoan,36.5,-105.5,36.5,43,32,6,40,0.2558139534883721,ASJP,False,True,True,True,True,North America,both,True,True,True,included
TIWA_NORTHERN_TAOS,Kiowa-Tanoan,36.5,-105.5,36.5,40,31,5,40,0.225,ASJP,False,True,True,True,True,North America,both,True,True,True,included
TIWA_SOUTHERN,Kiowa-Tanoan,35.0,-106.33,35.0,40,30,5,40,0.25,ASJP,False,True,True,True,True,North America,both,True,True,True,included
TIWI,Tiwi,-11.5,131.0,11.5,151,151,24,92,0.0,ASJP,False,True,True,True,True,Australia,both,True,True,True,included
TIYAA,Atlantic-Congo,9.56,9.5,9.56,92,51,3,92,0.44565217391304346,ASJP,False,True,True,True,True,Africa,both,True,True,True,included
TJUBAR_PAIWAN,Austronesian,22.5,120.83,22.5,34,10,3,34,0.7058823529411765,ASJP,False,True,True,True,True,Papunesia,both,True,True,True,included
TLACOAPA_MEPHAA,Otomanguean,17.57,-99.48,17.57,41,34,17,39,0.17073170731707318,ASJP,False,True,True,True,True,North America,both,True,True,True,included
TLAHUAPA_MIXTEC,Otomanguean,17.38,-98.34,17.38,20,20,4,20,0.0,ASJP,False,True,True,True,True,North America,both,True,True,True,included
TLAPANEC_MALINALTEPEC,Otomanguean,17.27,-98.52,17.27,119,98,23,96,0.17647058823529413,ASJP,False,True,True,True,True,North America,both,True,True,True,included
TLINGIT,Athabaskan-Eyak-Tlingit,59.0,-135.0,59.0,47,19,5,40,0.7021276595744681,ASJP,False,True,True,True,True,North America,both,True,True,True,included
TO,Atlantic-Congo,7.58,15.27,7.58,23,13,2,23,0.43478260869565216,ASJP,False,True,True,True,True,Africa,both,True,True,True,included
TOABAITA,Austronesian,-8.42,160.6,8.42,34,34,12,34,0.0,ASJP,False,True,True,True,True,Papunesia,both,True,True,True,included
TOALA,Austronesian,-3.0,120.33,3.0,40,30,8,38,0.25,ASJP,False,True,True,True,True,Papunesia,both,True,True,True,included
TOARIPI,Eleman,-8.33,146.25,8.33,123,123,40,99,0.0,ASJP,False,True,True,True,True,Papunesia,both,True,True,True,included
TOARIPI_2,Eleman,-8.33,146.25,8.33,41,41,17,40,0.0,ASJP,False,True,True,True,True,Papunesia,both,True,True,True,included
TOBA,Guaicuruan,-26.5,-59.0,26.5,60,26,22,40,0.5666666666666667,ASJP,False,True,True,True,True,South America,both,True,True,True,included
TOBANGA,Afro-Asiatic,9.83,16.21,9.83,11,7,1,10,0.36363636363636365,ASJP,False,False,True,True,False,Africa,both,True,True,False,fewer_than_20_concepts
TOBATI,Austronesian,-2.58,140.67,2.58,34,10,7,34,0.7647058823529411,ASJP,False,True,True,True,True,Papunesia,both,True,True,True,included
TOBA_BATAK,Austronesian,2.5,99.0,2.5,36,19,7,33,0.4722222222222222,ASJP,False,True,True,True,True,Papunesia,both,True,True,True,included
TOBELO_2,North Halmahera,1.5,128.5,1.5,26,26,5,26,0.0,ASJP,False,True,True,True,True,Papunesia,both,True,True,True,included
TOBIAN,Austronesian,3.0,131.17,3.0,39,9,0,38,0.7692307692307693,ASJP,False,True,True,True,True,Papunesia,both,True,True,True,included
TOBIAN_HATOHOBEIAN,Austronesian,3.0,131.17,3.0,36,10,3,33,0.75,ASJP,False,True,True,True,True,Papunesia,both,True,True,True,included
TOBO,Nuclear Trans New Guinea,-6.42,147.42,6.42,83,46,9,83,0.4457831325301205,ASJP,False,True,True,True,True,Papunesia,both,True,True,True,included
TOCHARIAN_A,Indo-European,42.98,89.18,42.98,38,6,2,37,0.868421052631579,ASJP,False,True,True,True,True,Eurasia,both,True,True,True,included
TOCHARIAN_B,Indo-European,41.65,82.9,41.65,41,23,4,40,0.5121951219512195,ASJP,False,True,True,True,True,Eurasia,both,True,True,True,included
TOCHO,Narrow Talodi,10.83,30.25,10.83,42,21,4,39,0.5,ASJP,False,True,True,True,True,Africa,both,True,True,True,included
TOCHO_2,Narrow Talodi,10.89,30.16,10.89,109,45,61,84,0.5871559633027523,ASJP,False,True,True,True,True,Africa,both,True,True,True,included
TOD,Sino-Tibetan,32.42,77.25,32.42,26,21,0,26,0.19230769230769232,ASJP,False,True,True,True,True,Eurasia,both,True,True,True,included
TODA,Dravidian,11.42,76.75,11.42,36,1,9,34,1.0555555555555556,ASJP,False,True,True,True,True,Eurasia,both,True,True,True,included
TODANGA,Austronesian,-5.42,122.67,5.42,41,41,8,40,0.0,ASJP,False,True,True,True,True,Papunesia,both,True,True,True,included
TODA_2,Dravidian,11.42,76.75,11.42,102,61,29,100,0.47058823529411764,ASJP,False,True,True,True,True,Eurasia,both,True,True,True,included
TODA_TAROKO,Austronesian,24.17,121.42,24.17,34,9,3,34,0.7352941176470589,ASJP,False,True,True,True,True,Papunesia,both,True,True,True,included
TODE,Mande,8.2,-9.23,8.2,24,22,2,22,0.16666666666666666,ASJP,False,True,True,True,True,Africa,both,True,True,True,included
TODRAH_UnnamedInSource,Austroasiatic,14.58,108.08,14.58,40,11,6,40,0.9,ASJP,False,True,True,True,True,Eurasia,both,True,True,True,included
TOFA,Turkic,53.75,98.0,53.75,40,7,8,40,0.825,ASJP,False,True,True,True,True,Eurasia,both,True,True,True,included
TOFANMA,Namla-Tofanma,-3.75,140.58,3.75,33,32,1,33,0.030303030303030304,ASJP,False,True,True,True,True,Papunesia,both,True,True,True,included
TOFANMA_2,Namla-Tofanma,-3.75,140.58,3.75,92,88,2,90,0.043478260869565216,ASJP,False,True,True,True,True,Papunesia,both,True,True,True,included
TOGA,Austronesian,-13.42,166.68,13.42,37,28,4,37,0.24324324324324326,ASJP,False,True,True,True,True,Papunesia,both,True,True,True,included
TOGBO_VARA_BANDA,Atlantic-Congo,6.36,22.74,6.36,39,39,17,39,0.0,ASJP,False,True,True,True,True,Africa,both,True,True,True,included
TOGOYO,Atlantic-Congo,8.46,25.68,8.46,23,13,0,22,0.43478260869565216,ASJP,False,True,True,True,True,Africa,both,True,True,True,included
TOHONO_OODHAM,Uto-Aztecan,32.0,-112.0,32.0,48,19,12,40,0.6458333333333334,ASJP,False,True,True,True,True,North America,both,True,True,True,included
TOJOLABAL,Mayan,16.33,-91.5,16.33,125,22,23,100,0.832,ASJP,False,True,True,True,True,North America,both,True,True,True,included
