,mean,sd,hdi_2.5%,hdi_97.5%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
alpha,0.696,0.035,0.628,0.765,0.001,0.0,2232.0,4487.0,1.0
beta_lat,-0.151,0.023,-0.195,-0.105,0.0,0.0,3832.0,6107.0,1.0
sigma_family,0.981,0.045,0.893,1.07,0.001,0.0,2062.0,4128.0,1.0
phi,2.506,0.038,2.431,2.581,0.0,0.0,17340.0,6470.0,1.0
