statistic,observed,ppc_median,ppc_2.5,ppc_97.5,bayesian_p_ge_observed
overall_rate,0.6575087769383798,0.657581052293026,0.6559114916007004,0.6592036340048316,0.5349
mean_language_rate,0.6620956276104352,0.6606308521786779,0.6588492029878802,0.6623463015435425,0.0504
sd_language_rate,0.28301921087291626,0.18289964967665612,0.18146390148135164,0.1842728298838553,0.0
share_rate_zero,0.00376630534631637,0.00018372221201543268,0.0,0.0004593055300385817,0.0
share_rate_one,0.1924490170861657,0.016902443505419806,0.01506522138526548,0.018739665625574133,0.0
