,mean,sd,hdi_2.5%,hdi_97.5%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
beta_between,-0.513,0.071,-0.647,-0.376,0.005,0.003,218.0,524.0,1.01
beta_within,-0.083,0.003,-0.089,-0.078,0.0,0.0,26712.0,6273.0,1.0
sigma_family,1.654,0.066,1.519,1.78,0.003,0.001,668.0,1490.0,1.01
