,mean,sd,hdi_2.5%,hdi_97.5%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
alpha,0.835,0.036,0.767,0.909,0.001,0.0,3926.0,6702.0,1.0
beta_lat,-0.137,0.024,-0.181,-0.09,0.0,0.0,5636.0,7153.0,1.0
sigma_family,1.025,0.054,0.918,1.13,0.001,0.001,2056.0,3699.0,1.0
phi,2.497,0.039,2.421,2.574,0.0,0.0,20077.0,6619.0,1.0
