,mean,sd,hdi_2.5%,hdi_97.5%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
beta_lat,-0.167,0.007,-0.182,-0.153,0.0,0.0,6319.0,7345.0,1.0
sigma_family,1.7,0.071,1.561,1.84,0.004,0.002,261.0,672.0,1.01
macro_raw[0],0.59,0.307,0.008,1.191,0.008,0.004,1627.0,2720.0,1.0
macro_raw[1],-0.785,0.344,-1.48,-0.117,0.01,0.005,1238.0,2120.0,1.01
macro_raw[2],0.069,0.306,-0.518,0.661,0.008,0.004,1625.0,2716.0,1.0
macro_raw[3],-0.296,0.308,-0.886,0.302,0.008,0.004,1658.0,2843.0,1.0
macro_raw[4],-0.183,0.308,-0.769,0.413,0.008,0.004,1600.0,2711.0,1.0
macro_raw[5],0.618,0.312,0.018,1.24,0.008,0.004,1603.0,2557.0,1.0
