model,parameter,mean,median,ci_2.5,ci_97.5,p_lt_0,p_gt_0
North slope,beta_lat_north,-0.25812063570098476,-0.25814973661793006,-0.2727743588656125,-0.2433451980943923,1.0,0.0
South slope,beta_lat_south,0.5775593984851689,0.5774433544776524,0.5418010235662315,0.6129658111766948,0.0,1.0
South-minus-north slope difference,beta_lat_south_delta,0.8356800341861537,0.8356018558408322,0.7972394048410588,0.8736054913709254,0.0,1.0
