,mean,sd,hdi_2.5%,hdi_97.5%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
beta_lat_initial,0.009,0.018,-0.025,0.045,0.0,0.0,1666.0,3289.0,1.0
beta_lat_final,-0.257,0.017,-0.291,-0.222,0.0,0.0,1677.0,3272.0,1.0
beta_lat_final_delta,-0.266,0.005,-0.275,-0.256,0.0,0.0,23279.0,7476.0,1.0
beta_final_level,2.639,0.005,2.629,2.65,0.0,0.0,29685.0,7115.0,1.0
sigma_family,0.751,0.038,0.68,0.828,0.001,0.0,2041.0,3706.0,1.0
sigma_language,0.831,0.007,0.818,0.844,0.0,0.0,2522.0,4383.0,1.0
