Family,n_languages,observed_share_exact_one,ppc_median,ppc_2.5,ppc_97.5,residual_observed_minus_ppc_median,bayesian_p_ge_observed
Anim,20,0.2,0.05,0.0,0.2,0.15000000000000002,0.060833333333333336
Arawan,7,0.5714285714285714,0.42857142857142855,0.14285714285714285,0.8571428571428571,0.14285714285714285,0.49666666666666665
Austronesian,1533,0.228310502283105,0.09980430528375733,0.08217547292889758,0.11873776908023474,0.12850619699934768,0.0
Suki-Gogodala,8,0.625,0.5,0.125,0.875,0.125,0.4125
Otomanguean,131,0.32061068702290074,0.20610687022900764,0.12213740458015267,0.3053435114503817,0.1145038167938931,0.015
Aymaran,9,0.7777777777777778,0.6666666666666666,0.2222222222222222,1.0,0.11111111111111116,0.32916666666666666
Narrow Talodi,9,0.1111111111111111,0.0,0.0,0.3333333333333333,0.1111111111111111,0.4266666666666667
Miwok-Costanoan,9,0.1111111111111111,0.0,0.0,0.3333333333333333,0.1111111111111111,0.4766666666666667
Yanomamic,9,0.3333333333333333,0.2222222222222222,0.0,0.6666666666666666,0.1111111111111111,0.36333333333333334
Chocoan,9,0.6666666666666666,0.5555555555555556,0.1111111111111111,0.8888888888888888,0.11111111111111105,0.315
Eastern Trans-Fly,19,0.10526315789473684,0.0,0.0,0.10526315789473684,0.10526315789473684,0.02666666666666667
Atlantic-Congo,2380,0.3911764705882353,0.2949579831932773,0.26973739495798316,0.3197584033613445,0.09621848739495797,0.0
Kiwaian,11,0.7272727272727273,0.6363636363636364,0.2727272727272727,0.9090909090909091,0.09090909090909094,0.375
Nuclear Trans New Guinea,408,0.15931372549019607,0.07107843137254902,0.04411764705882353,0.10300245098039182,0.08823529411764705,0.0
Uto-Aztecan,80,0.15,0.0625,0.0125,0.1375,0.0875,0.014166666666666666
Mailuan,12,0.5833333333333334,0.5,0.16666666666666666,0.8333333333333334,0.08333333333333337,0.4525
Bosavi,12,0.5,0.4166666666666667,0.08333333333333333,0.75,0.08333333333333331,0.3908333333333333
Sepik,49,0.12244897959183673,0.04081632653061224,0.0,0.12244897959183673,0.0816326530612245,0.055
Tucanoan,32,0.9375,0.875,0.65625,0.96875,0.0625,0.2025
Pama-Nyungan,212,0.22169811320754718,0.16037735849056603,0.10377358490566038,0.23113207547169812,0.061320754716981146,0.045
Kru,33,0.8484848484848485,0.7878787878787878,0.5757575757575758,0.9393939393939394,0.06060606060606066,0.3275
Ijoid,38,0.8157894736842105,0.7631578947368421,0.5526315789473685,0.9210526315789473,0.05263157894736836,0.3425
Algic,39,0.05128205128205128,0.0,0.0,0.02628205128204778,0.05128205128205128,0.025
Arawakan,61,0.6229508196721312,0.5737704918032787,0.39344262295081966,0.7540983606557377,0.049180327868852514,0.32
Nuclear-Macro-Je,22,0.13636363636363635,0.09090909090909091,0.0,0.3181818181818182,0.04545454545454544,0.4075
Chibchan,23,0.17391304347826086,0.13043478260869565,0.0,0.391304347826087,0.043478260869565216,0.49
Tupian,58,0.20689655172413793,0.1724137931034483,0.06896551724137931,0.3103448275862069,0.03448275862068964,0.33916666666666667
Lakes Plain,31,0.4838709677419355,0.45161290322580644,0.22580645161290322,0.7096774193548387,0.03225806451612906,0.49333333333333335
Athabaskan-Eyak-Tlingit,49,0.02040816326530612,0.0,0.0,0.061224489795918366,0.02040816326530612,0.4558333333333333
