,mean,sd,hdi_2.5%,hdi_97.5%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
alpha,1.094,0.02,1.053,1.132,0.001,0.0,1487.0,3501.0,1.0
beta_lat,-0.19,0.007,-0.202,-0.177,0.0,0.0,5127.0,6520.0,1.0
sigma_family,1.708,0.073,1.563,1.852,0.004,0.002,308.0,623.0,1.01
