,mean,sd,hdi_2.5%,hdi_97.5%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
alpha,1.448,0.02,1.411,1.488,0.0,0.0,1557.0,3059.0,1.0
beta_lat,-0.069,0.004,-0.077,-0.06,0.0,0.0,6807.0,7230.0,1.0
sigma_family,2.101,0.095,1.914,2.305,0.007,0.004,215.0,396.0,1.01
