model,parameter,mean,median,ci_2.5,ci_97.5,p_lt_0,p_gt_0,excluded_families,n_languages,n_families,observed_share_exact_one,observed_mean_language_rate
ASJP BB excluding Atlantic-Congo,beta_lat,-0.06958341346616045,-0.06931371385156412,-0.11899882761735311,-0.020751161688248178,0.9971,0.0029,Atlantic-Congo,8506,645,0.13684458029626145,0.6255258588265111
ASJP BB excluding Austronesian,beta_lat,-0.2628204209237239,-0.2628946241249379,-0.3122511742105247,-0.21434024269414054,1.0,0.0,Austronesian,9353,645,0.18657115364054314,0.6636180455744588
ASJP BB excluding top two boundary families,beta_lat,-0.18704663478932476,-0.18672225332619308,-0.24034767286218556,-0.13491081161102028,1.0,0.0,Atlantic-Congo; Austronesian,6973,644,0.116735981643482,0.6195281131893045
