macroarea,n_languages,n_families,mean_abs_latitude,sd_abs_latitude,corr_abs_lat_vfinal
Africa,952,12,7.896249999999999,7.360443839982315,0.07416834722422821
Australia,306,29,20.411960784313724,7.094139490422587,0.21478494774346132
Papunesia,2462,124,6.698545897644191,4.537497646062582,0.23009005974729235
South America,354,68,11.309293785310736,8.791921260154892,-0.37754048354696534
