statistic,observed,ppc_median,ppc_2.5,ppc_97.5,bayesian_p_ge_observed
overall_rate,0.6575087769383798,0.6824058297301058,0.6758285917689213,0.6892683746537559,1.0
mean_language_rate,0.6620956276104352,0.6861679341946412,0.680001035807034,0.69244110717196,1.0
sd_language_rate,0.28301921087291626,0.2905868839330803,0.2866940774971372,0.29443694578082413,0.9998
share_rate_zero,0.00376630534631637,0.009553555024802499,0.007624471798640456,0.011666360462979974,1.0
share_rate_one,0.1924490170861657,0.14881499173250046,0.14082307550982914,0.15717435237920266,0.0
