,mean,sd,hdi_2.5%,hdi_97.5%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
beta_lat_north,-0.258,0.007,-0.273,-0.244,0.0,0.0,5452.0,6761.0,1.0
beta_lat_south,0.578,0.018,0.542,0.613,0.0,0.0,5328.0,6321.0,1.0
beta_lat_south_delta,0.836,0.019,0.798,0.874,0.0,0.0,4660.0,5684.0,1.0
beta_south_level,1.765,0.017,1.732,1.8,0.0,0.0,4944.0,6345.0,1.0
sigma_family,1.806,0.077,1.654,1.952,0.005,0.003,252.0,407.0,1.02
