statistic,observed,ppc_median,ppc_2.5,ppc_97.5,bayesian_p_ge_observed
overall_rate,0.6517982957222952,0.6517971463577787,0.6508902833873151,0.6527017105992097,0.4994
mean_language_rate,0.6714012148172235,0.6868672911527312,0.6858284043907255,0.6879193016815681,1.0
sd_language_rate,0.294562887012188,0.19765222895671825,0.1967228946711323,0.19857577518017197,0.0
share_rate_zero,0.0038174877295037266,0.0,0.0,0.0,0.0
share_rate_one,0.17324122886747864,0.014361025268133067,0.011816033448463915,0.01690601708780222,0.0
