,mean,sd,hdi_2.5%,hdi_97.5%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
beta_between,-0.348,0.042,-0.431,-0.266,0.001,0.001,1357.0,2504.0,1.0
beta_within,-0.033,0.011,-0.055,-0.011,0.0,0.0,18394.0,7483.0,1.0
sigma_family,0.948,0.046,0.86,1.039,0.001,0.001,2153.0,4127.0,1.0
phi,2.509,0.039,2.43,2.581,0.0,0.0,14866.0,7594.0,1.0
