min_concepts,hemisphere,n_languages,corr_abs_lat_vfinal
20,all,10886,-0.27365195726637287
20,north,6748,-0.28557809607416756
20,south,4138,0.07919766086389968
40,all,3898,-0.3128143956846601
40,north,2588,-0.3243064815341517
40,south,1310,0.1193768420206839
60,all,2381,-0.30199275659879277
60,north,1451,-0.329213113700301
60,south,930,0.2001628697060876
