,mean,sd,hdi_2.5%,hdi_97.5%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
beta_lat_initial,0.028,0.017,-0.006,0.062,0.0,0.0,5808.0,7100.0,1.0
beta_lat_final,-0.285,0.017,-0.316,-0.252,0.0,0.0,6221.0,7973.0,1.0
beta_lat_final_delta,-0.313,0.015,-0.342,-0.284,0.0,0.0,16333.0,7456.0,1.0
beta_final_level,2.285,0.016,2.255,2.317,0.0,0.0,9440.0,7889.0,1.0
sigma_family,0.604,0.029,0.549,0.662,0.001,0.0,2565.0,4532.0,1.0
sigma_language,0.051,0.035,0.0,0.116,0.002,0.001,562.0,990.0,1.0
phi,3.319,0.04,3.237,3.394,0.001,0.0,3557.0,5624.0,1.0
