macroarea,median,ci_2.5,ci_97.5,p_lt_0,p_gt_0
Africa,0.36261951310695206,0.31478111806846565,0.410486654064624,0.0,1.0
Australia,0.0735612766219717,0.027771260894249906,0.12063083076051635,0.0007,0.9993
Eurasia,0.260554868210766,-1.114030961815227,1.659234945294752,0.3568,0.6432
Papunesia,0.6026998195658102,0.5726707174804996,0.6333534302136651,0.0,1.0
South America,-0.022856651035081738,-0.08551025068105872,0.037481006198076185,0.7738,0.2262
