macroarea,n_languages,n_families,mean,median,ci_2.5,ci_97.5,p_lt_0,p_gt_0
South America,354,68,-0.11944938436345401,-0.11935532941223034,-0.261093775258549,0.021432746748476766,0.9509,0.0491
Australia,306,29,0.23931673651790278,0.23881152198414868,0.05166730603845194,0.42948999288037754,0.006,0.994
Africa,952,12,0.24203787106994568,0.24137944547611845,0.1143968412892323,0.37265955379810006,0.0,1.0
Papunesia,2462,124,0.5449061808043004,0.5446657813957925,0.44416247879850596,0.6487211293769907,0.0,1.0
