Language_ID,Family,Latitude,Longitude,abs_latitude,n_total,n_concepts,is_unknown_or_isolate,macroarea_id_matched,Macroarea,macroarea_exclusion_reason
PROTO_CENTRAL_MALAYO_POLYNESIAN_2,ISOLATE_OR_UNKNOWN__PROTO_CENTRAL_MALAYO_POLYNESIAN_2,-3.13,129.5,3.13,40,34,True,False,,no_macroarea_match_by_Language_ID
PROTO_CENTRAL_MANDE,ISOLATE_OR_UNKNOWN__PROTO_CENTRAL_MANDE,10.5,-8.28,10.5,26,20,True,False,,no_macroarea_match_by_Language_ID
PROTO_CHATINO,ISOLATE_OR_UNKNOWN__PROTO_CHATINO,17.07,-96.72,17.07,26,26,True,False,,no_macroarea_match_by_Language_ID
PROTO_CHOLAN,ISOLATE_OR_UNKNOWN__PROTO_CHOLAN,15.55,-89.05,15.55,41,38,True,False,,no_macroarea_match_by_Language_ID
PROTO_CHUKOTKO_KAMCHATKAN,ISOLATE_OR_UNKNOWN__PROTO_CHUKOTKO_KAMCHATKAN,56.5,160.0,56.5,43,30,True,False,,no_macroarea_match_by_Language_ID
PROTO_DAJU,ISOLATE_OR_UNKNOWN__PROTO_DAJU,13.0,25.0,13.0,38,38,True,False,,no_macroarea_match_by_Language_ID
PROTO_EASTERN_HMONG,ISOLATE_OR_UNKNOWN__PROTO_EASTERN_HMONG,26.13,106.65,26.13,35,34,True,False,,no_macroarea_match_by_Language_ID
PROTO_EASTERN_MAKU,ISOLATE_OR_UNKNOWN__PROTO_EASTERN_MAKU,1.0,-70.0,1.0,34,32,True,False,,no_macroarea_match_by_Language_ID
PROTO_GBAYA,ISOLATE_OR_UNKNOWN__PROTO_GBAYA,7.0,20.0,7.0,36,32,True,False,,no_macroarea_match_by_Language_ID
PROTO_GERMANIC,ISOLATE_OR_UNKNOWN__PROTO_GERMANIC,57.0,12.0,57.0,34,31,True,False,,no_macroarea_match_by_Language_ID
PROTO_GREATER_QANJOBALAN,ISOLATE_OR_UNKNOWN__PROTO_GREATER_QANJOBALAN,15.38,-91.72,15.38,39,39,True,False,,no_macroarea_match_by_Language_ID
PROTO_GREATER_QUICHEAN,ISOLATE_OR_UNKNOWN__PROTO_GREATER_QUICHEAN,14.84,-90.84,14.84,40,40,True,False,,no_macroarea_match_by_Language_ID
PROTO_GREATER_TZELTALAN,ISOLATE_OR_UNKNOWN__PROTO_GREATER_TZELTALAN,15.58,-89.08,15.58,35,34,True,False,,no_macroarea_match_by_Language_ID
PROTO_HIGHLAND_EAST_CUSHITIC,ISOLATE_OR_UNKNOWN__PROTO_HIGHLAND_EAST_CUSHITIC,7.05,38.44,7.05,40,37,True,False,,no_macroarea_match_by_Language_ID
PROTO_HINDKO,ISOLATE_OR_UNKNOWN__PROTO_HINDKO,34.0,72.5,34.0,35,33,True,False,,no_macroarea_match_by_Language_ID
PROTO_HMONG,ISOLATE_OR_UNKNOWN__PROTO_HMONG,27.0,105.0,27.0,46,32,True,False,,no_macroarea_match_by_Language_ID
PROTO_HUASTECAN,ISOLATE_OR_UNKNOWN__PROTO_HUASTECAN,15.55,-92.3,15.55,32,29,True,False,,no_macroarea_match_by_Language_ID
PROTO_IJOID,ISOLATE_OR_UNKNOWN__PROTO_IJOID,4.5,6.5,4.5,34,31,True,False,,no_macroarea_match_by_Language_ID
