Language_ID,Family,Latitude,Longitude,abs_latitude,n_total,n_concepts,is_unknown_or_isolate,macroarea_id_matched,Macroarea,macroarea_exclusion_reason
ALLENTIAC,ISOLATE_OR_UNKNOWN__ALLENTIAC,-33.48,-68.1,33.48,42,32,True,False,,no_macroarea_match_by_Language_ID
ANDOQUERO,ISOLATE_OR_UNKNOWN__ANDOQUERO,-0.67,-72.31,0.67,54,54,True,False,,no_macroarea_match_by_Language_ID
ANDRO,ISOLATE_OR_UNKNOWN__ANDRO,24.75,94.03,24.75,33,33,True,False,,no_macroarea_match_by_Language_ID
ARAMAIC_ANCIENT,ISOLATE_OR_UNKNOWN__ARAMAIC_ANCIENT,35.0,37.0,35.0,50,40,True,False,,no_macroarea_match_by_Language_ID
AURAN_KULON_PAZEH,ISOLATE_OR_UNKNOWN__AURAN_KULON_PAZEH,24.15,120.63,24.15,38,34,True,False,,no_macroarea_match_by_Language_ID
AYOMAN,ISOLATE_OR_UNKNOWN__AYOMAN,10.57,-69.7,10.57,31,28,True,False,,no_macroarea_match_by_Language_ID
BALADE,ISOLATE_OR_UNKNOWN__BALADE,-20.25,164.2,20.25,42,40,True,False,,no_macroarea_match_by_Language_ID
BANGRU,ISOLATE_OR_UNKNOWN__BANGRU,27.95,93.15,27.95,42,39,True,False,,no_macroarea_match_by_Language_ID
BARRANBIYA,ISOLATE_OR_UNKNOWN__BARRANBIYA,-30.1,145.93,30.1,24,20,True,False,,no_macroarea_match_by_Language_ID
BASUM,ISOLATE_OR_UNKNOWN__BASUM,29.99,93.88,29.99,20,20,True,False,,no_macroarea_match_by_Language_ID
BETOI,ISOLATE_OR_UNKNOWN__BETOI,7.22,-71.42,7.22,21,20,True,False,,no_macroarea_match_by_Language_ID
BIGAMBAL,ISOLATE_OR_UNKNOWN__BIGAMBAL,-28.6,150.35,28.6,29,24,True,False,,no_macroarea_match_by_Language_ID
BIRRDHAWAL,ISOLATE_OR_UNKNOWN__BIRRDHAWAL,-37.05,148.93,37.05,32,27,True,False,,no_macroarea_match_by_Language_ID
BULARNU,ISOLATE_OR_UNKNOWN__BULARNU,-21.03,138.16,21.03,28,28,True,False,,no_macroarea_match_by_Language_ID
BULU_PUROIK,ISOLATE_OR_UNKNOWN__BULU_PUROIK,27.32,92.38,27.32,104,99,True,False,,no_macroarea_match_by_Language_ID
BUTAM,ISOLATE_OR_UNKNOWN__BUTAM,-4.47,152.25,4.47,46,44,True,False,,no_macroarea_match_by_Language_ID
BUU_ZARANDA,ISOLATE_OR_UNKNOWN__BUU_ZARANDA,10.23,9.52,10.23,82,73,True,False,,no_macroarea_match_by_Language_ID
CAIJIA,ISOLATE_OR_UNKNOWN__CAIJIA,19.16,115.43,19.16,39,38,True,False,,no_macroarea_match_by_Language_ID
CAMBERRA_LANGUAGE,ISOLATE_OR_UNKNOWN__CAMBERRA_LANGUAGE,-35.31,149.12,35.31,33,25,True,False,,no_macroarea_match_by_Language_ID
CARIB_1665,ISOLATE_OR_UNKNOWN__CARIB_1665,13.13,-61.22,13.13,47,33,True,False,,no_macroarea_match_by_Language_ID
CHALON,ISOLATE_OR_UNKNOWN__CHALON,36.37,-121.15,36.37,22,21,True,False,,no_macroarea_match_by_Language_ID
CHANA,ISOLATE_OR_UNKNOWN__CHANA,-33.69,-57.78,33.69,36,34,True,False,,no_macroarea_match_by_Language_ID
CHOLTI,ISOLATE_OR_UNKNOWN__CHOLTI,15.5,-89.0,15.5,99,85,True,False,,no_macroarea_match_by_Language_ID
COERUNA,ISOLATE_OR_UNKNOWN__COERUNA,-1.9,-65.55,1.9,54,54,True,False,,no_macroarea_match_by_Language_ID
COLAC,ISOLATE_OR_UNKNOWN__COLAC,-38.2,143.3,38.2,32,28,True,False,,no_macroarea_match_by_Language_ID
COMMON_TOCHARIAN,ISOLATE_OR_UNKNOWN__COMMON_TOCHARIAN,41.65,82.9,41.65,29,28,True,False,,no_macroarea_match_by_Language_ID
CUICA,ISOLATE_OR_UNKNOWN__CUICA,9.0,-70.5,9.0,33,31,True,False,,no_macroarea_match_by_Language_ID
CUNG,ISOLATE_OR_UNKNOWN__CUNG,6.58,10.42,6.58,30,30,True,False,,no_macroarea_match_by_Language_ID
DAO_SICHUAN_YAJIANG,ISOLATE_OR_UNKNOWN__DAO_SICHUAN_YAJIANG,30.0,101.0,30.0,95,95,True,False,,no_macroarea_match_by_Language_ID
DHUDHUROA,ISOLATE_OR_UNKNOWN__DHUDHUROA,-35.56,144.18,35.56,27,27,True,False,,no_macroarea_match_by_Language_ID
DJADJALA,ISOLATE_OR_UNKNOWN__DJADJALA,-35.82,142.03,35.82,36,32,True,False,,no_macroarea_match_by_Language_ID
DONGO_KRESH,ISOLATE_OR_UNKNOWN__DONGO_KRESH,10.0,24.6,10.0,90,84,True,False,,no_macroarea_match_by_Language_ID
DORASQUE,ISOLATE_OR_UNKNOWN__DORASQUE,7.0,-83.0,7.0,34,31,True,False,,no_macroarea_match_by_Language_ID
DOTHRAKI,ISOLATE_OR_UNKNOWN__DOTHRAKI,33.77,-118.2,33.77,51,38,True,False,,no_macroarea_match_by_Language_ID
DOUIRET_BERBER,ISOLATE_OR_UNKNOWN__DOUIRET_BERBER,32.86,11.3,32.86,44,40,True,False,,no_macroarea_match_by_Language_ID
DRAG_YAB,ISOLATE_OR_UNKNOWN__DRAG_YAB,30.51,98.08,30.51,39,39,True,False,,no_macroarea_match_by_Language_ID
DUOXU,ISOLATE_OR_UNKNOWN__DUOXU,28.53,102.08,28.53,38,33,True,False,,no_macroarea_match_by_Language_ID
DYARIM,ISOLATE_OR_UNKNOWN__DYARIM,10.03,9.07,10.03,40,35,True,False,,no_macroarea_match_by_Language_ID
EAST_TUSOM,ISOLATE_OR_UNKNOWN__EAST_TUSOM,24.8,94.42,24.8,89,87,True,False,,no_macroarea_match_by_Language_ID
ESMERALDENYO,ISOLATE_OR_UNKNOWN__ESMERALDENYO,0.83,-79.78,0.83,34,32,True,False,,no_macroarea_match_by_Language_ID
GANDANGARA,ISOLATE_OR_UNKNOWN__GANDANGARA,-33.7,150.3,33.7,24,22,True,False,,no_macroarea_match_by_Language_ID
GUACHI,ISOLATE_OR_UNKNOWN__GUACHI,-19.43,-56.34,19.43,29,28,True,False,,no_macroarea_match_by_Language_ID
GUAMO,ISOLATE_OR_UNKNOWN__GUAMO,8.0,-69.5,8.0,52,31,True,False,,no_macroarea_match_by_Language_ID
GUARANI_ANTIGO,ISOLATE_OR_UNKNOWN__GUARANI_ANTIGO,-26.0,-56.0,26.0,38,38,True,False,,no_macroarea_match_by_Language_ID
GUINAU,ISOLATE_OR_UNKNOWN__GUINAU,4.8,-64.74,4.8,45,35,True,False,,no_macroarea_match_by_Language_ID
GUYAMBAL,ISOLATE_OR_UNKNOWN__GUYAMBAL,-29.1,151.0,29.1,25,20,True,False,,no_macroarea_match_by_Language_ID
GWARA,ISOLATE_OR_UNKNOWN__GWARA,9.47,7.98,9.47,30,30,True,False,,no_macroarea_match_by_Language_ID
GYANNZI_GEEJI,ISOLATE_OR_UNKNOWN__GYANNZI_GEEJI,10.32,9.62,10.32,49,44,True,False,,no_macroarea_match_by_Language_ID
GYANNZI_GEEJI_2,ISOLATE_OR_UNKNOWN__GYANNZI_GEEJI_2,10.32,9.62,10.32,59,49,True,False,,no_macroarea_match_by_Language_ID
HELSINKI_STADIN_SLANGI,ISOLATE_OR_UNKNOWN__HELSINKI_STADIN_SLANGI,60.17,24.95,60.17,51,39,True,False,,no_macroarea_match_by_Language_ID
IDO,ISOLATE_OR_UNKNOWN__IDO,52.37,4.89,52.37,45,40,True,False,,no_macroarea_match_by_Language_ID
INTERLINGUA,ISOLATE_OR_UNKNOWN__INTERLINGUA,40.43,74.0,40.43,46,39,True,False,,no_macroarea_match_by_Language_ID
JAPHUG,ISOLATE_OR_UNKNOWN__JAPHUG,32.1,102.36,32.1,41,40,True,False,,no_macroarea_match_by_Language_ID
KABONGLO,ISOLATE_OR_UNKNOWN__KABONGLO,24.8,94.23,24.8,81,78,True,False,,no_macroarea_match_by_Language_ID
KABRANG_TANGKHUL,ISOLATE_OR_UNKNOWN__KABRANG_TANGKHUL,25.74,94.25,25.74,67,67,True,False,,no_macroarea_match_by_Language_ID
KATHLAMET,ISOLATE_OR_UNKNOWN__KATHLAMET,46.2,-123.56,46.2,103,90,True,False,,no_macroarea_match_by_Language_ID
KAWA,ISOLATE_OR_UNKNOWN__KAWA,-8.33,124.42,8.33,39,39,True,False,,no_macroarea_match_by_Language_ID
KERAMIN,ISOLATE_OR_UNKNOWN__KERAMIN,-34.08,141.9,34.08,28,26,True,False,,no_macroarea_match_by_Language_ID
KHOONG_GOOE,ISOLATE_OR_UNKNOWN__KHOONG_GOOE,25.74,94.25,25.74,59,57,True,False,,no_macroarea_match_by_Language_ID
KITANEMUK,ISOLATE_OR_UNKNOWN__KITANEMUK,34.89,-118.68,34.89,55,40,True,False,,no_macroarea_match_by_Language_ID
KLINGON,ISOLATE_OR_UNKNOWN__KLINGON,34.1,-118.33,34.1,38,35,True,False,,no_macroarea_match_by_Language_ID
KROTMAG_KLINGON,ISOLATE_OR_UNKNOWN__KROTMAG_KLINGON,34.1,-118.33,34.1,38,35,True,False,,no_macroarea_match_by_Language_ID
KWANKA,ISOLATE_OR_UNKNOWN__KWANKA,9.3,9.43,9.3,39,39,True,False,,no_macroarea_match_by_Language_ID
LAIRAMLO,ISOLATE_OR_UNKNOWN__LAIRAMLO,24.61,94.22,24.61,87,85,True,False,,no_macroarea_match_by_Language_ID
LAMEI,ISOLATE_OR_UNKNOWN__LAMEI,29.89,97.42,29.89,40,40,True,False,,no_macroarea_match_by_Language_ID
LATE_EGYPTIAN,ISOLATE_OR_UNKNOWN__LATE_EGYPTIAN,29.85,31.25,29.85,45,36,True,False,,no_macroarea_match_by_Language_ID
LAZE,ISOLATE_OR_UNKNOWN__LAZE,27.85,101.45,27.85,39,37,True,False,,no_macroarea_match_by_Language_ID
LEN_1,ISOLATE_OR_UNKNOWN__LEN_1,-9.12,142.1,9.12,84,80,True,False,,no_macroarea_match_by_Language_ID
LEN_2,ISOLATE_OR_UNKNOWN__LEN_2,-9.12,142.1,9.12,43,42,True,False,,no_macroarea_match_by_Language_ID
LIZU,ISOLATE_OR_UNKNOWN__LIZU,28.33,101.35,28.33,35,31,True,False,,no_macroarea_match_by_Language_ID
LOJBAN,ISOLATE_OR_UNKNOWN__LOJBAN,38.53,77.02,38.53,42,40,True,False,,no_macroarea_match_by_Language_ID
MANGGHUER,ISOLATE_OR_UNKNOWN__MANGGHUER,36.34,102.8,36.34,67,67,True,False,,no_macroarea_match_by_Language_ID
MANSIM,ISOLATE_OR_UNKNOWN__MANSIM,-0.92,134.01,0.92,79,76,True,False,,no_macroarea_match_by_Language_ID
MBOANDEM,ISOLATE_OR_UNKNOWN__MBOANDEM,5.42,8.67,5.42,29,28,True,False,,no_macroarea_match_by_Language_ID
MIDDLE_EGYPTIAN,ISOLATE_OR_UNKNOWN__MIDDLE_EGYPTIAN,25.7,32.65,25.7,67,39,True,False,,no_macroarea_match_by_Language_ID
MIISIIRII_TAMA,ISOLATE_OR_UNKNOWN__MIISIIRII_TAMA,14.16,22.69,14.16,59,36,True,False,,no_macroarea_match_by_Language_ID
MILANG,ISOLATE_OR_UNKNOWN__MILANG,28.55,95.19,28.55,39,37,True,False,,no_macroarea_match_by_Language_ID
MILLCAYAC,ISOLATE_OR_UNKNOWN__MILLCAYAC,-31.0,-68.0,31.0,43,30,True,False,,no_macroarea_match_by_Language_ID
MOLET,ISOLATE_OR_UNKNOWN__MOLET,-5.66,146.53,5.66,97,96,True,False,,no_macroarea_match_by_Language_ID
MOMI_YADIM,ISOLATE_OR_UNKNOWN__MOMI_YADIM,8.64,12.27,8.64,44,40,True,False,,no_macroarea_match_by_Language_ID
MORSKA_KLINGON,ISOLATE_OR_UNKNOWN__MORSKA_KLINGON,34.1,-118.33,34.1,38,35,True,False,,no_macroarea_match_by_Language_ID
MUKLOM_TANGSA,ISOLATE_OR_UNKNOWN__MUKLOM_TANGSA,27.63,96.43,27.63,40,40,True,False,,no_macroarea_match_by_Language_ID
NABIT,ISOLATE_OR_UNKNOWN__NABIT,10.86,-0.67,10.86,41,40,True,False,,no_macroarea_match_by_Language_ID
NAHUATL_ACAXOCHITLAN,ISOLATE_OR_UNKNOWN__NAHUATL_ACAXOCHITLAN,20.17,-98.2,20.17,34,31,True,False,,no_macroarea_match_by_Language_ID
NAHUATL_AMILCINGO_ZACUALPAN,ISOLATE_OR_UNKNOWN__NAHUATL_AMILCINGO_ZACUALPAN,18.8,-98.77,18.8,32,30,True,False,,no_macroarea_match_by_Language_ID
NAHUATL_AXOCHIAPAN,ISOLATE_OR_UNKNOWN__NAHUATL_AXOCHIAPAN,18.5,-98.77,18.5,28,27,True,False,,no_macroarea_match_by_Language_ID
NAHUATL_AYOTOXCO,ISOLATE_OR_UNKNOWN__NAHUATL_AYOTOXCO,20.1,-97.4,20.1,30,29,True,False,,no_macroarea_match_by_Language_ID
NAHUATL_CHICHIQUILA,ISOLATE_OR_UNKNOWN__NAHUATL_CHICHIQUILA,19.17,-97.02,19.17,32,30,True,False,,no_macroarea_match_by_Language_ID
NAHUATL_CHIGNAUTLA,ISOLATE_OR_UNKNOWN__NAHUATL_CHIGNAUTLA,19.82,-97.37,19.82,30,28,True,False,,no_macroarea_match_by_Language_ID
NAHUATL_CHILOCOYO_HUEHUETLA,ISOLATE_OR_UNKNOWN__NAHUATL_CHILOCOYO_HUEHUETLA,20.12,-97.62,20.12,29,28,True,False,,no_macroarea_match_by_Language_ID
NAHUATL_CHINANCAHUATL_ZACUALTIPAN,ISOLATE_OR_UNKNOWN__NAHUATL_CHINANCAHUATL_ZACUALTIPAN,20.63,-98.58,20.63,30,29,True,False,,no_macroarea_match_by_Language_ID
NAHUATL_COYOTEPEC,ISOLATE_OR_UNKNOWN__NAHUATL_COYOTEPEC,19.77,-99.2,19.77,33,30,True,False,,no_macroarea_match_by_Language_ID
NAHUATL_CUAMELCO_TIANGUISTENGO,ISOLATE_OR_UNKNOWN__NAHUATL_CUAMELCO_TIANGUISTENGO,20.72,-98.62,20.72,34,30,True,False,,no_macroarea_match_by_Language_ID
NAHUATL_CUATLAMAYAN_ANTONIO_SANTOS,ISOLATE_OR_UNKNOWN__NAHUATL_CUATLAMAYAN_ANTONIO_SANTOS,20.8,-98.65,20.8,31,30,True,False,,no_macroarea_match_by_Language_ID
NAHUATL_HUEYAPAN_TETELA_DEL_VOLCAN,ISOLATE_OR_UNKNOWN__NAHUATL_HUEYAPAN_TETELA_DEL_VOLCAN,18.87,-98.67,18.87,33,31,True,False,,no_macroarea_match_by_Language_ID
NAHUATL_HUEYATI_YAHUALICA,ISOLATE_OR_UNKNOWN__NAHUATL_HUEYATI_YAHUALICA,20.93,-98.4,20.93,33,30,True,False,,no_macroarea_match_by_Language_ID
NAHUATL_IXHUATLAN_DE_MADERO,ISOLATE_OR_UNKNOWN__NAHUATL_IXHUATLAN_DE_MADERO,20.68,-98.02,20.68,32,28,True,False,,no_macroarea_match_by_Language_ID
NAHUATL_IXTACAMAXTITLAN,ISOLATE_OR_UNKNOWN__NAHUATL_IXTACAMAXTITLAN,19.62,-97.82,19.62,29,28,True,False,,no_macroarea_match_by_Language_ID
NAHUATL_JALATLACO,ISOLATE_OR_UNKNOWN__NAHUATL_JALATLACO,19.18,-99.42,19.18,31,29,True,False,,no_macroarea_match_by_Language_ID
NAHUATL_JICOCINGO_ZACATLAN,ISOLATE_OR_UNKNOWN__NAHUATL_JICOCINGO_ZACATLAN,19.92,-97.97,19.92,31,30,True,False,,no_macroarea_match_by_Language_ID
NAHUATL_LAS_BALSAS,ISOLATE_OR_UNKNOWN__NAHUATL_LAS_BALSAS,20.7,-97.78,20.7,31,30,True,False,,no_macroarea_match_by_Language_ID
NAHUATL_LA_REFORMA_TEPEHUACAN_DE_GUERRERO,ISOLATE_OR_UNKNOWN__NAHUATL_LA_REFORMA_TEPEHUACAN_DE_GUERRERO,21.0,-98.83,21.0,32,30,True,False,,no_macroarea_match_by_Language_ID
NAHUATL_MONTEGRANDE_PLATON_SANCHEZ,ISOLATE_OR_UNKNOWN__NAHUATL_MONTEGRANDE_PLATON_SANCHEZ,21.27,-98.37,21.27,35,31,True,False,,no_macroarea_match_by_Language_ID
NAHUATL_QUETZALAPA_AZOYU,ISOLATE_OR_UNKNOWN__NAHUATL_QUETZALAPA_AZOYU,18.3,-99.2,18.3,30,29,True,False,,no_macroarea_match_by_Language_ID
NAHUATL_REYES_DE_VALLARTA_TUZAMAPAN,ISOLATE_OR_UNKNOWN__NAHUATL_REYES_DE_VALLARTA_TUZAMAPAN,20.1,-97.52,20.1,32,30,True,False,,no_macroarea_match_by_Language_ID
NAHUATL_SANTA_ANA_TLACOTENCO,ISOLATE_OR_UNKNOWN__NAHUATL_SANTA_ANA_TLACOTENCO,19.18,-99.02,19.18,32,31,True,False,,no_macroarea_match_by_Language_ID
NAHUATL_SANTA_MARIA_TEOPOXCO,ISOLATE_OR_UNKNOWN__NAHUATL_SANTA_MARIA_TEOPOXCO,18.17,-96.95,18.17,32,31,True,False,,no_macroarea_match_by_Language_ID
NAHUATL_SAN_FRANCISCO_TLALNEPANTLA,ISOLATE_OR_UNKNOWN__NAHUATL_SAN_FRANCISCO_TLALNEPANTLA,19.18,-99.12,19.18,29,28,True,False,,no_macroarea_match_by_Language_ID
NAHUATL_SAN_JERONINO_AMANALCO,ISOLATE_OR_UNKNOWN__NAHUATL_SAN_JERONINO_AMANALCO,19.52,-98.75,19.52,32,30,True,False,,no_macroarea_match_by_Language_ID
NAHUATL_SAN_PEDRO_JICORA,ISOLATE_OR_UNKNOWN__NAHUATL_SAN_PEDRO_JICORA,22.42,-104.5,22.42,25,24,True,False,,no_macroarea_match_by_Language_ID
NAHUATL_TLALNEPANTLA_TAMAZUNCHALE,ISOLATE_OR_UNKNOWN__NAHUATL_TLALNEPANTLA_TAMAZUNCHALE,21.27,-98.77,21.27,33,31,True,False,,no_macroarea_match_by_Language_ID
