,mean,sd,hdi_2.5%,hdi_97.5%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
alpha,1.497,0.033,1.432,1.563,0.001,0.0,1935.0,4882.0,1.0
beta_lat,0.382,0.01,0.362,0.401,0.0,0.0,9533.0,8129.0,1.0
sigma_family,2.042,0.112,1.822,2.255,0.006,0.003,391.0,1064.0,1.01
