,mean,sd,hdi_2.5%,hdi_97.5%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
alpha,0.69,0.023,0.646,0.734,0.0,0.0,2148.0,4400.0,1.0
beta_lat,-0.356,0.008,-0.373,-0.34,0.0,0.0,5100.0,6878.0,1.0
sigma_family,1.414,0.089,1.242,1.59,0.005,0.002,386.0,900.0,1.01
