,mean,sd,hdi_2.5%,hdi_97.5%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
beta_lat_north,-0.23,0.026,-0.281,-0.18,0.0,0.0,3259.0,5907.0,1.0
beta_lat_south,0.527,0.057,0.42,0.645,0.001,0.0,6219.0,7037.0,1.0
beta_lat_south_delta,0.757,0.062,0.638,0.88,0.001,0.001,4678.0,6599.0,1.0
beta_south_level,1.784,0.056,1.676,1.892,0.001,0.001,4206.0,6536.0,1.0
sigma_family,1.18,0.051,1.085,1.286,0.001,0.001,1428.0,3375.0,1.01
phi,2.868,0.046,2.78,2.958,0.0,0.0,12826.0,7403.0,1.0
