,mean,sd,hdi_2.5%,hdi_97.5%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
alpha,0.912,0.045,0.825,1.002,0.001,0.0,4777.0,6399.0,1.0
beta_lat,-0.138,0.038,-0.213,-0.066,0.001,0.0,5129.0,6661.0,1.0
sigma_family,1.005,0.063,0.883,1.128,0.001,0.001,2593.0,4694.0,1.0
phi,2.074,0.043,1.989,2.155,0.0,0.001,18174.0,6588.0,1.0
