database,statistic,observed,binomial_ppc_median,binomial_ppc_2.5,binomial_ppc_97.5,beta_binomial_ppc_median,beta_binomial_ppc_2.5,beta_binomial_ppc_97.5
ASJP,mean_language_rate,0.6620956276104352,0.6606308521786779,0.6588492029878802,0.6623463015435425,0.6861679341946412,0.680001035807034,0.69244110717196
ASJP,sd_language_rate,0.28301921087291626,0.18289964967665612,0.18146390148135164,0.1842728298838553,0.2905868839330803,0.2866940774971372,0.29443694578082413
ASJP,share_rate_one,0.1924490170861657,0.016902443505419806,0.01506522138526548,0.018739665625574133,0.14881499173250046,0.14082307550982914,0.15717435237920266
Lexibank,mean_language_rate,0.6714012148172235,0.6868672911527312,0.6858284043907255,0.6879193016815681,0.7037438985634382,0.6949718563561977,0.7123073937566148
Lexibank,sd_language_rate,0.294562887012188,0.19765222895671825,0.1967228946711323,0.19857577518017197,0.30027564133979945,0.29461743295256465,0.30594718728269366
Lexibank,share_rate_one,0.17324122886747864,0.014361025268133067,0.011816033448463915,0.01690601708780222,0.1456098891110707,0.13524813670241775,0.15578985638974732
